4 5 293414
5 6 249835
6 6 257429
7 10 289855
8 16 308656
9 21 483935
10 25 504271
11 23 431429
12 27 590691
13 33 666035
14 40 877990
15 31 1032100
16 46 807153
17 55 913604
18 52 3684797
19 73 1325649
20 66 1406085
25 113 2423353
30 146 6631644
35 197 8315784
40 267 3013799
45 331 8202170
50 422 8816677
55 490 10583674
60 561 12954486
65 670 2616220
70 778 3230090
75 856 9179248
80 1002 11300246
85 1117 17592817
90 1248 22293935
95 1453 25052847
100 1543 5417138
105 1788 13117885
110 1899 21366260
115 2066 10157058
120 2300 27148857
125 2426 17391258
100 3037 11475223
110 3640 21153519
120 4378 36896721
130 5062 20291373
140 5905 41290205
150 6714 30048451
160 7647 18319699
170 8612 40523664
180 9676 39160997
190 10833 54581037
200 11960 31605804
210 13138 42818766
220 14621 57197814
230 15806 43225508
240 17284 50688280
250 18916 68696331
260 20330 44126035
270 21879 57590641
280 23588 75136711
